framename,precision,recall,f1,accuracy
arrest,0.5023041474654377,0.5364197530864198,0.5148005148005148,0.8333333333333334
bible,0.4478319783197832,0.4330972058244786,0.43968053804119384,0.875
camera,0.6517412935323383,0.4444444444444444,0.4923664122137404,0.9492753623188406
chef,0.6118421052631579,0.39784946236559143,0.41157286318576647,0.8364779874213837
church,0.9937106918238993,0.9666666666666667,0.979281537176274,0.983957219251337
concert_hall,0.6637931034482759,0.6608187134502924,0.6622738127162906,0.9884393063583815
cook,0.5961004874390702,0.5467836257309941,0.5640820543585129,0.8773006134969326
darkroom,0.504360718646433,0.5534231200897867,0.5202991452991453,0.8333333333333334
frying_pan,0.5891414141414141,0.5071643071643072,0.531173885750157,0.8601398601398601
hair_salon,0.64562569213732,0.6337594696969697,0.6395198021295206,0.9735099337748344
haircut,0.5998820580863925,0.5202646815550042,0.5490302536723676,0.9072847682119205
hairdresser,0.651440329218107,0.6528868678517293,0.6521283359969755,0.971830985915493
handcuffs,0.5697674418604651,0.8784722222222222,0.5966301921715935,0.6698113207547169
microphone,0.6254295532646048,0.5287356321839081,0.5577321229495142,0.8869565217391304
photographer,0.9876543209876543,0.9974937343358397,0.9924528301886792,0.99375
police_officer,0.6139755766621439,0.5819310897435898,0.595843935538592,0.9226190476190477
preach,0.6086956521739131,0.5299145299145299,0.5488991295442909,0.853448275862069
prison,0.6512345679012346,0.5555555555555555,0.5921011058451816,0.9495798319327731
restaurant,0.6523297491039427,0.6222222222222222,0.6355311355311355,0.9583333333333334
scissors,0.6516853932584269,0.6111111111111112,0.6287008011145941,0.9545454545454546
sing,0.6298473597359736,0.5947444989998182,0.6090285301552907,0.9253731343283582
singer,0.6124338624338624,0.6102327624066755,0.6101229688186209,0.9
take_photo,0.556426084203862,0.5422885572139303,0.5425846014081308,0.8074074074074075
vicar,0.6599326599326599,0.6388888888888888,0.6487725524992606,0.9754098360655737
AVERAGE,0.6365494267100156,0.6060487134468739,0.6047753775460559,0.9036298694643131
